epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.026,1.81723,2.28922,1.03689,0.27701,0.15634,0.12326,0.06507,1.73218,1.5743,0.99149,0.000356559,0.000356559,0.000356559
2,268.303,1.68297,1.54008,0.99543,0.25821,0.22008,0.18177,0.10026,1.57237,1.34646,0.96313,0.00069943,0.00069943,0.00069943
3,382.865,1.64708,1.42547,0.98351,0.28713,0.23364,0.20474,0.11549,1.55344,1.27829,0.95762,0.000685726,0.000685726,0.000685726
4,497.916,1.61647,1.36098,0.97718,0.31076,0.25156,0.22451,0.12682,1.52122,1.21572,0.9521,0.000671588,0.000671588,0.000671588
5,612.898,1.58856,1.31142,0.96873,0.31667,0.25764,0.22666,0.12901,1.51312,1.21976,0.94638,0.000657451,0.000657451,0.000657451
6,730.854,1.56574,1.27426,0.96527,0.31717,0.25289,0.23055,0.12969,1.49595,1.19955,0.94365,0.000643314,0.000643314,0.000643314
7,857.066,1.55523,1.24638,0.96209,0.33136,0.27401,0.24436,0.13668,1.49109,1.18083,0.94118,0.000629177,0.000629177,0.000629177
8,983.866,1.54679,1.22815,0.95586,0.33568,0.26765,0.24528,0.13821,1.48273,1.15241,0.94868,0.00061504,0.00061504,0.00061504
9,1109.9,1.5307,1.21056,0.95498,0.36652,0.26529,0.25184,0.14236,1.4742,1.14533,0.9372,0.000600902,0.000600902,0.000600902
10,1228.77,1.53057,1.19835,0.95409,0.34552,0.27733,0.25717,0.14649,1.45443,1.13487,0.93503,0.000586765,0.000586765,0.000586765
11,1348.73,1.51773,1.18243,0.94922,0.34596,0.2774,0.2607,0.148,1.45749,1.13373,0.93353,0.000572628,0.000572628,0.000572628
12,1466.5,1.50327,1.16386,0.94795,0.35581,0.28166,0.26401,0.15034,1.44658,1.12139,0.93365,0.000558491,0.000558491,0.000558491
13,1580.58,1.49325,1.15291,0.94444,0.34978,0.28029,0.26375,0.15115,1.44072,1.12117,0.93227,0.000544354,0.000544354,0.000544354
14,1694.15,1.49348,1.15313,0.94278,0.35445,0.28636,0.26447,0.15074,1.44323,1.10795,0.93377,0.000530216,0.000530216,0.000530216
15,1807.5,1.48458,1.14099,0.94307,0.36946,0.28585,0.27219,0.15575,1.44173,1.1023,0.92841,0.000516079,0.000516079,0.000516079
16,1920.73,1.47606,1.12991,0.94158,0.37383,0.29883,0.28164,0.16114,1.42619,1.08636,0.92941,0.000501942,0.000501942,0.000501942
17,2035,1.47203,1.11844,0.93893,0.37466,0.29104,0.28179,0.1602,1.41875,1.0861,0.92831,0.000487805,0.000487805,0.000487805
18,2148.36,1.46545,1.1112,0.93856,0.37073,0.29979,0.27906,0.16041,1.41436,1.08132,0.92494,0.000473668,0.000473668,0.000473668
19,2261.54,1.46696,1.10436,0.93664,0.37638,0.29864,0.28167,0.16158,1.4076,1.07465,0.92482,0.00045953,0.00045953,0.00045953
20,2375.01,1.45086,1.0939,0.93495,0.38327,0.29959,0.28437,0.16151,1.40898,1.07082,0.92364,0.000445393,0.000445393,0.000445393
21,2488.51,1.45216,1.08975,0.93399,0.38941,0.29551,0.28467,0.16222,1.40525,1.06347,0.92269,0.000431256,0.000431256,0.000431256
22,5265.9,1.45164,1.08676,0.93426,0.38727,0.2957,0.28627,0.16438,1.40197,1.06692,0.92021,0.000417119,0.000417119,0.000417119
23,5404.16,1.44882,1.08455,0.9339,0.39449,0.2985,0.29391,0.16849,1.39385,1.05471,0.92052,0.000402982,0.000402982,0.000402982
24,5542.68,1.44114,1.07331,0.93041,0.39502,0.30728,0.29586,0.17007,1.39114,1.05292,0.9187,0.000388844,0.000388844,0.000388844
25,5679.84,1.43522,1.06727,0.92983,0.39257,0.30269,0.29269,0.16883,1.39825,1.05463,0.92059,0.000374707,0.000374707,0.000374707
26,5817.99,1.42443,1.05854,0.92835,0.39731,0.30169,0.29306,0.16936,1.39282,1.05261,0.91947,0.00036057,0.00036057,0.00036057
27,5957.55,1.43064,1.05954,0.92675,0.39132,0.31007,0.29853,0.17139,1.38828,1.04036,0.91778,0.000346433,0.000346433,0.000346433
28,6093.43,1.4284,1.05554,0.92624,0.40617,0.30277,0.29693,0.171,1.38766,1.03994,0.91761,0.000332296,0.000332296,0.000332296
29,6229.63,1.42399,1.04815,0.92636,0.40399,0.30576,0.29655,0.17027,1.38358,1.04055,0.91847,0.000318158,0.000318158,0.000318158
30,6365.82,1.41729,1.04392,0.92554,0.39884,0.30522,0.29505,0.16921,1.38093,1.04098,0.91594,0.000304021,0.000304021,0.000304021
31,6501.34,1.41165,1.03609,0.9238,0.39511,0.31307,0.29794,0.1723,1.37839,1.0373,0.91635,0.000289884,0.000289884,0.000289884
32,6637.52,1.4032,1.02968,0.9218,0.40778,0.30891,0.29994,0.17246,1.38088,1.03119,0.91721,0.000275747,0.000275747,0.000275747
33,6772.94,1.40115,1.02685,0.92132,0.41569,0.30301,0.29876,0.17301,1.37652,1.02957,0.91571,0.00026161,0.00026161,0.00026161
34,6914.17,1.40168,1.02206,0.92082,0.41509,0.30805,0.30554,0.17619,1.37617,1.02542,0.91506,0.000247472,0.000247472,0.000247472
35,7050.04,1.40295,1.01716,0.92042,0.41281,0.30882,0.30644,0.17657,1.36698,1.01729,0.91478,0.000233335,0.000233335,0.000233335
36,7186.44,1.39699,1.01607,0.91989,0.4124,0.30871,0.3066,0.17565,1.36755,1.01922,0.91565,0.000219198,0.000219198,0.000219198
37,7322.21,1.39677,1.01308,0.91995,0.4103,0.31082,0.30623,0.17568,1.36694,1.02169,0.91438,0.000205061,0.000205061,0.000205061
38,7458.14,1.38843,1.00375,0.91798,0.41473,0.30745,0.3073,0.17708,1.36753,1.02041,0.91406,0.000190924,0.000190924,0.000190924
39,7594.41,1.37935,0.99371,0.91512,0.41803,0.30939,0.30803,0.17775,1.36571,1.01613,0.91281,0.000176786,0.000176786,0.000176786
40,7730.17,1.38597,0.99902,0.91644,0.41529,0.31462,0.30875,0.17728,1.3638,1.01231,0.91256,0.000162649,0.000162649,0.000162649
41,7857.29,1.3547,0.9774,0.91643,0.41605,0.31101,0.30481,0.17421,1.3738,1.02323,0.91483,0.000148512,0.000148512,0.000148512
42,7983.04,1.34569,0.96258,0.9125,0.41027,0.3106,0.3058,0.17627,1.3675,1.01937,0.91378,0.000134375,0.000134375,0.000134375
43,8108.53,1.34325,0.96004,0.91261,0.40945,0.31483,0.30828,0.17675,1.36446,1.01519,0.9128,0.000120238,0.000120238,0.000120238
44,8234.67,1.33942,0.95659,0.91073,0.43339,0.30649,0.31125,0.17864,1.37016,1.01422,0.91522,0.0001061,0.0001061,0.0001061
45,8360.48,1.33357,0.94712,0.90979,0.41847,0.31187,0.30983,0.17914,1.36449,1.01401,0.91304,9.19632e-05,9.19632e-05,9.19632e-05
46,8475.83,1.32816,0.93956,0.90932,0.417,0.31299,0.30798,0.17751,1.36276,1.01063,0.91346,7.7826e-05,7.7826e-05,7.7826e-05
