epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.852,1.818,2.40273,1.03738,0.28179,0.18764,0.12847,0.06972,1.6494,1.52181,0.98407,0.000356119,0.000356119,0.000356119
2,329.879,1.69124,1.55632,0.99588,0.23782,0.21754,0.16926,0.09137,1.63023,1.43923,0.97062,0.000698999,0.000698999,0.000698999
3,469.574,1.64833,1.43827,0.98638,0.27054,0.22835,0.18903,0.10436,1.59111,1.32737,0.96777,0.000685726,0.000685726,0.000685726
4,616.257,1.61239,1.36685,0.97694,0.29036,0.22382,0.20655,0.11512,1.566,1.30693,0.96546,0.000671588,0.000671588,0.000671588
